User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
"Bryonny
CrossfireBoomerang",@BryonnyM,2020-01-02T23:34:05.000Z,Be free.Be free.,1,1,2
ùìíùì∏ùì≠ùîÇ,@buzzman888,2020-01-02T23:49:21.000Z,You can bet your butt that video right there makes the Dumborats shudder......,1,1,1
AA7YA,@AA7YA,2020-01-03T23:56:57.000Z,And Obama boarded AF-1 to golf in Vegas when Benghazi happened.,,1,1
Cbg4lbc,@cbg4lbc,2020-01-03T23:56:57.000Z,Keep telling it like it is Terrence... we need your voice... GOD Bless you & AmericaKeep telling it like it is Terrence... we need your voice... GOD Bless you & America,,,1
Jussi Sivonen,@jsssiv,2020-01-03T23:56:30.000Z,"Don't forget all the secular/revolting Iranians who are at this very moment thanking 
@realDonaldTrump
 for making Soleimani go boom-boom... Don't forget all the secular/revolting Iranians who are at this very moment thanking 
@realDonaldTrump
 for making Soleimani go boom-boom... ",1,3,27
Bill,@RecycledSponge,2020-01-03T23:58:59.000Z,They're fools and self-sabotagors.They're fools and self-sabotagors.,,2,5
George Hatt,@gohatt,2020-01-03T23:59:30.000Z,"Do you think maybe the Iranian terrorist leaders are trying desperately to get the hell out of Iraq before our drones catch up with them? They forgot that the money-bribing Obama has been replace with a new Sheriff in town - our great President 
@realDonaldTrump
!",,4,2
Sandra Dee,@GhandiSandi,2020-01-03T23:59:21.000Z,"Sorry, pumpkin, but if y'all had proof, he'd be in jail right now.Sorry, pumpkin, but if y'all had proof, he'd be in jail right now.",1,,15
Ryan Knight ‚ò≠,@ProudSocialist,2020-01-03T23:52:41.000Z,"If 
@realDonaldTrump
 is going to recklessly start a war with Iran to try to save his failed presidency then I think he should put his own children 
@EricTrump
, 
@DonaldJTrumpJr
, and 
@IvankaTrump
 on the frontlines. #TrumpsWar",74,554,1.6K
"She Fought For America
(Some Knucklehead)",@TheBoltUpright,2020-01-03T23:59:52.000Z,He'd be ok with that.,,,4
Rick Scott,@SenRickScott,2020-01-03T21:10:29.000Z,".
@SenSchumer
 is playing partisan games with 
@realDonaldTrump
's impeachment.

The Senate will hold a fair trial for BOTH sides, unlike the House Democrats. We want to use the same rules that were used during Clinton's impeachment, which passed 100-0.Quote Tweet
Jonathan Turley
@JonathanTurley
 ¬∑ Jan 3, 2020
Schumer's statement today is curious since he not only opposed any witnesses in the Clinton trial but also supported a summary vote without a trial.  He is insisting on ""following precedent"" that he opposed creating. He also ran on the pledge to vote to acquit before any trial.",45,52,146
Kris,@Krislkup,2020-01-03T23:58:21.000Z,How fair is it going to be when the senate majority leader has stated he is working with the defendant on the trial Rick. Or when senators r saying they have already made up their mind and won't be partial?,,1,2
Mitchell Goth,@Mitchell_Goth,2020-01-03T21:15:17.000Z,"You served 20, yet dont have the concept of common decency and respect enough to apologize when you questioned the national loyalty and enlistment of someone who was already an army vet

It isnt really that hard to say I'm sorry for[explain wrongdoing]ù you lukewarm pizza roll.You served 20, yet dont have the concept of common decency and respect enough to apologize when you questioned the national loyalty and enlistment of someone who was already an army vet

It isnt really that hard to say I'm sorry for[explain wrongdoing]ù you lukewarm pizza roll.",1,,117
Aliit ori'shya tal'din,@Sgt_Martin13,2020-01-03T23:58:41.000Z,"""lukewarm pizza roll"" that's fucking harsh

I'll use it wisely",,,31
,@R47ray,2020-01-03T23:56:40.000Z,Its literally people like you right now that think nothing will happen to the U.S. or U.S. Citizen's. Just because youve never lived through an era where the U.S. gets attacked. Iran has control over weapons that can literally level an entire state.Its literally people like you right now that think nothing will happen to the U.S. or U.S. Citizen's. Just because youve never lived through an era where the U.S. gets attacked. Iran has control over weapons that can literally level an entire state.,44,3,54
azpublic #SeditionIsAFelony,@azpublic1,2020-01-03T23:47:08.000Z,"Wonder if you'll be found on one of Lev's phones, 
@kevinomccarthy
?Wonder if you'll be found on one of Lev's phones, 
@kevinomccarthy
?",2,6,39
Jack1028,@jackie1028_,2020-01-03T23:57:09.000Z,"I'd bet on it. And Nunes, too",,,9
Gatts,@michaelgattusoo,2020-01-03T23:56:05.000Z,"Draft me I dare u, u fuckin pussy 
@realDonaldTrump",1,,6
Rob Lee,@TThunder666,2020-01-03T23:56:47.000Z,"I respectfully request that they only be equipped with the same necessities as were provided to families at the border. They're children of a stable geniusù after all, they should be able to figure it out.I respectfully request that they only be equipped with the same necessities as were provided to families at the border. They're children of a stable geniusù after all, they should be able to figure it out.",,,7
