User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Erica needs to get the F out of Ontario,@idriveLuigi,2019-04-01T23:53:53.000Z,FYI this Esso is at 89 and Highway 11 and was gouging people for YEARS as they were the only gas station in the area. It wasn't until ultramar was built right across the street that they smartened up.,2,1,5
Nicholas John Ellan,@njfavengers,2019-04-01T22:14:51.000Z,"I also live in BC. Carbon emissions went down, and the economy was not affected. The government lowered income taxes to compensate us, making the tax revenue neutral.I also live in BC. Carbon emissions went down, and the economy was not affected. The government lowered income taxes to compensate us, making the tax revenue neutral.",5,2,
Wadim Szymocha,@VicSzymocha,2019-04-01T22:21:19.000Z,"Have you seen the lineups and fuel pumps across the border? All the BC truck drivers crossing into US have a standing order to only fill up South of the border. Tax revenue neutral
 if you actually believe that then I'm out.",1,4,14
Saskboy from Saskatchewan,@saskboy,2019-04-01T21:37:49.000Z,"This is offensive 
@SohiAmarjeet
, after going on about how Liberals understand the need to address climate change.This is offensive 
@SohiAmarjeet
, after going on about how Liberals understand the need to address climate change.",,,6
yyc(Brenda),@yyc79787057,2019-04-01T21:58:17.000Z,"If it were not for President Trump, nothing would be done on Keystone.  Thank you President Trump!!!!!If it were not for President Trump, nothing would be done on Keystone.  Thank you President Trump!!!!!",,1,5
Dusty Rose,@DustyRoseYYC,2019-04-01T22:22:04.000Z,"Not since Scientology has anyone come up with such a clever way to collect money from people who believe they are ""saving the planet"". Props to 
@justintrudeau
 & 
@rachelnotley
 for pulling it off and finding followers who have such unquestionable faith. #carbontax #cdnpoli #abpoli",1,7,16
JenAHobbit,@JeninCanada,2019-04-01T21:44:16.000Z,"This is another major campaign promise broken. This and electoral reform will have actual progressives flocking to the #NDP, as they should.This is another major campaign promise broken. This and electoral reform will have actual progressives flocking to the #NDP, as they should.",1,6,17
Jay Bailey,@baileyja69,2019-04-01T23:38:51.000Z,"No it doesn't my family is going to pay more for just Gas then we get back. Why because we live in a rural community with no mass transit to get us to our jobs, schools or entertainmentNo it doesn't my family is going to pay more for just Gas then we get back. Why because we live in a rural community with no mass transit to get us to our jobs, schools or entertainment",7,3,96
Wind Walker,@BlairJYoung1,2019-04-01T23:39:04.000Z,It looks to me that industry gets a free ticket. Once again the middle class r hit in the pocketbook.It looks to me that industry gets a free ticket. Once again the middle class r hit in the pocketbook.,1,,35
"Laura, I'd rather be watching kittens",@LFinsten,2019-04-01T23:35:15.000Z,"This is the first installment of several, so get back to me when it's 15-20% incr.  This is an increase being foisted on Canadians by the government.  There are people living on the cusp of poverty who are going to be really hurt by this.  Sorry you lack the humanity to see that.",,2,7
